,2,1,0
0,1,0,0
1,0,1,1
2,0,1,1
3,0,0,1
4,1,1,1
5,0,1,0
6,1,1,1
7,1,1,1
8,0,1,1
9,0,0,1
10,0,0,0
11,1,0,1
12,1,1,0
13,0,1,1
14,0,0,1
15,0,1,0
16,1,1,1
17,0,1,1
18,1,1,0
19,0,1,1
20,1,1,0
21,0,1,0
22,1,1,1
23,0,1,1
24,1,1,1
25,1,0,1
26,0,1,1
27,0,1,1
28,0,0,1
29,1,0,1
30,0,1,0
31,1,1,1
32,1,1,1
33,0,1,1
34,1,0,1
35,1,0,1
36,0,1,1
37,1,0,1
38,0,1,1
39,0,1,1
40,1,1,1
41,1,0,1
42,1,0,1
43,0,1,1
44,1,1,0
45,0,0,1
46,0,1,1
47,0,0,1
48,1,1,1
49,0,1,0
50,1,1,0
51,0,1,0
52,0,1,1
53,0,0,1
54,1,0,1
55,0,1,1
56,0,1,0
57,1,0,1
58,0,0,0
59,1,0,1
60,1,0,1
61,1,1,1
62,0,0,0
63,0,0,1
64,1,0,1
65,1,0,1
66,1,1,0
67,0,0,1
68,0,1,1
69,0,1,1
70,0,1,1
71,0,0,0
72,1,1,0
73,1,0,1
74,1,0,1
75,1,0,1
76,1,0,1
77,1,0,1
78,0,1,0
79,0,1,1
80,1,1,0
81,1,0,1
82,1,1,1
83,0,1,1
84,0,1,1
85,0,1,1
86,1,0,0
87,1,0,0
88,1,0,0
89,1,1,0
90,0,1,1
91,1,0,1
92,0,0,1
93,1,0,1
94,1,0,1
95,0,1,1
96,0,1,1
97,1,1,0
98,1,1,0
99,0,1,1
100,0,1,1
101,1,1,0
102,1,0,1
103,0,0,1
104,1,0,1
105,1,0,0
106,0,1,0
107,1,1,1
108,1,1,1
109,0,1,1
110,1,0,1
111,0,0,1
112,1,0,1
113,1,1,0
114,1,1,1
115,1,0,1
116,1,0,1
117,1,1,1
118,0,1,1
119,1,0,1
120,0,1,1
121,1,1,0
122,1,0,1
123,0,1,1
124,0,1,1
125,1,1,1
126,0,1,0
127,0,1,0
128,0,1,1
129,0,1,1
130,1,0,1
131,0,1,1
132,1,0,1
133,1,0,1
134,1,0,1
135,0,1,0
136,1,0,1
137,1,0,0
138,1,1,0
139,0,1,1
140,1,0,1
141,0,1,1
142,0,1,0
143,1,0,1
144,1,1,0
145,0,0,1
146,1,0,1
147,1,1,1
148,0,1,1
149,0,1,1
150,0,0,0
151,0,1,1
152,1,0,1
153,0,0,1
154,0,1,0
155,1,1,0
156,0,0,0
157,1,0,1
158,1,1,1
159,1,1,0
160,1,1,0
161,1,0,1
162,0,1,1
163,0,0,1
164,0,0,1
165,1,0,1
166,0,1,1
167,0,0,1
168,0,1,0
169,0,1,1
170,1,0,1
171,1,0,1
172,1,0,1
173,1,0,1
174,1,1,0
175,0,1,0
176,0,1,1
177,1,1,0
178,0,1,1
179,1,0,0
180,1,1,0
181,0,1,0
182,1,0,1
183,1,0,1
184,0,1,0
185,1,0,0
186,0,0,1
187,0,0,1
188,1,0,1
189,0,1,1
190,1,0,1
191,0,1,1
192,0,0,1
193,0,1,0
194,0,1,1
195,0,1,0
196,0,0,1
197,0,0,1
198,1,1,0
199,1,0,1
200,0,0,0
201,1,1,1
202,0,1,1
203,0,1,1
204,0,1,1
205,0,1,1
206,1,0,1
207,1,1,1
208,1,1,1
209,0,0,1
210,1,0,1
211,0,0,0
212,0,0,0
213,1,0,1
214,1,1,1
215,1,0,1
216,1,1,1
217,0,1,0
218,0,1,0
219,1,1,0
220,1,0,1
221,0,0,1
222,0,1,1
223,1,0,1
224,0,1,1
225,1,1,0
226,1,0,0
227,0,1,0
228,1,1,0
229,1,0,1
230,1,1,1
231,0,0,1
232,0,0,1
233,1,0,1
234,0,1,1
235,0,0,1
